,Flow
70933,0.348248
70934,0.51148
70935,0.6834800000000001
70936,0.85548
70937,1.02048
70938,1.1817600000000001
70939,1.345
70940,1.508
70941,1.6627600000000002
70942,1.79548
70943,1.89776
70944,1.9784800000000002
70945,2.0654800000000004
70946,2.16348
70947,2.25476
70948,2.3244800000000003
70949,2.36124
70950,2.38524
70951,2.4092400000000005
70952,2.4374800000000003
70953,2.4592400000000003
70954,2.4764800000000005
70955,2.507
70956,2.53324
70957,2.53548
70958,2.50924
70959,2.494
70960,2.50048
70961,2.51148
70962,2.5180000000000002
70963,2.529
70964,2.54848
70965,2.5592400000000004
70966,2.5504800000000003
70967,2.5267600000000003
70968,2.50724
70969,2.51348
70970,2.52248
70971,2.516
70972,2.4920000000000004
70973,2.455
70974,2.4244800000000004
70975,2.418
70976,2.4352400000000003
70977,2.4570000000000003
70978,2.45276
70979,2.418
70980,2.37448
70981,2.3374800000000002
70982,2.307
70983,2.29148
70984,2.2764800000000003
70985,2.24824
70986,2.2239999999999998
70987,2.2154800000000003
70988,2.2070000000000003
70989,2.185
70990,2.15024
70991,2.113
70992,2.06948
70993,2.02848
70994,2.00448
70995,1.98248
70996,1.9480000000000002
70997,1.9020000000000001
70998,1.8564800000000004
70999,1.8260000000000003
71000,1.79976
71001,1.7760000000000002
71002,1.75624
71003,1.73024
71004,1.689
71005,1.6300000000000001
71006,1.578
71007,1.5430000000000001
71008,1.51476
71009,1.4774800000000001
71010,1.4364800000000002
71011,1.395
71012,1.356
71013,1.319
71014,1.284
71015,1.247
71016,1.197
71017,1.147
71018,1.10548
71019,1.06648
71020,1.03376
71021,1.0010000000000001
71022,0.96
71023,0.916
71024,0.87248
71025,0.8380000000000001
71026,0.8140000000000001
71027,0.7964800000000001
71028,0.777
71029,0.74848
71030,0.714
71031,0.67448
71032,0.6400000000000001
71033,0.6030000000000001
71034,0.5660000000000001
71035,0.52676
71036,0.492
71037,0.4570000000000001
71038,0.42648
71039,0.391748
71040,0.35450000000000004
71041,0.311
71042,0.2675
71043,0.22650000000000003
71044,0.18500000000000003
71045,0.139248
71046,0.09350000000000001
71047,0.05224800000000001
71048,0.024
71049,0.0025000000000000005
